學號,原始學院,轉系後學院
411287033,花師教育學院,人文社會科學學院
411233003,管理學院,人文社會科學學院
411296029,原住民民族學院,人文社會科學學院
411383001,人文社會科學學院,人文社會科學學院
411383004,人文社會科學學院,人文社會科學學院
411388026,花師教育學院,人文社會科學學院
41137B006,洄瀾學院,人文社會科學學院
411203002,人文社會科學學院,人文社會科學學院
411242038,人文社會科學學院,人文社會科學學院
411333040,管理學院,人文社會科學學院
411175013,藝術學院,人文社會科學學院
41123A033,管理學院,人文社會科學學院
411142037,人文社會科學學院,人文社會科學學院
411296020,原住民民族學院,人文社會科學學院
41127B071,洄瀾學院,人文社會科\學學院
411392006,原住民民族學院,人文社會科學學院
411354009,環境暨海洋學院,人文社會科學學院
411392023,原住民民族學院,人文社會科學學院
411397221,原住民民族學院,人文社會科學學院
411175043,藝術學院,人文社會科學學院
411021234,理工學院,人文社會科學學院
411203040,人文社會科學學院,人文社會科學學院
41127B013,洄瀾學院,人文社會科學學院
411332039,管理學院,花師教育學院
411201002,人文社會科學學院,花師教育學院
411296010,原住民民族學院,原住民民族學院
411301018,人文社會科學學院,原住民民族學院
411396019,原住民民族學院,原住民民族學院
411196002,藝術學院,原住民民族學院
411311328,理工學院,理工學院
411311308,理工學院,理工學院
411312039,理工學院,理工學院
411354026,環境暨海洋學院,理工學院
411354047,環境暨海洋學院,理工學院
411397110,原住民民族學院,理工學院
411342041,人文社會科學學院,理工學院
411388008,花師教育學院,理工學院
411315015,理工學院,理工學院
411354016,環境暨海洋學院,理工學院
411330024,管理學院,理工學院
411114371,理工學院,理工學院
411242048,人文社會科學學院,理工學院
411311218,理工學院,理工學院
411311330,理工學院,理工學院
411314323,理工學院,理工學院
411315014,理工學院,理工學院
411321313,理工學院,理工學院
411325015,理工學院,理工學院
411335015,管理學院,理工學院
411335077,管理學院,理工學院
411342043,人文社會科學學院,理工學院
411211201,理工學院,理工學院
411221304,理工學院,理工學院
411221307,理工學院,理工學院
411235014,管理學院,理工學院
41127B035,洄瀾學院,理工學院
411021396,理工學院,理工學院
411322064,理工學院,理工學院
411335013,管理學院,理工學院
41124B033,人文社會科學學院,管理學院
411134004,管理學院,管理學院
411232042,管理學院,管理學院
411242003,人文社會科學學院,管理學院
411134035,管理學院,管理學院
411302026,人文社會科學學院,管理學院
411392001,原住民民族學院,管理學院
41120A001,人文社會科學學院,管理學院
411333009,管理學院,管理學院
41133B001,管理學院,管理學院
41133B004,管理學院,管理學院
41133B003,管理學院,管理學院
41133B007,管理學院,管理學院
41133B018,管理學院,管理學院
41133C015,管理學院,管理學院
41133C017,管理學院,管理學院
411230033,管理學院,管理學院
411186084,花師教育學院,管理學院
411022027,理工學院,藝術學院
411042021,人文社會科學學院,藝術學院
411232016,管理學院,藝術學院
411308025,人文社會科學學院,藝術學院
411175010,藝術學院,藝術學院
41127B036,洄瀾學院,藝術學院
