學號,原始學院,轉系後學院
41110A001,人文社會科學學院,人文社會科學學院
41110A037,人文社會科學學院,人文社會科學學院
411102027,人文社會科學學院,人文社會科學學院
411196003,原住民民族學院,人文社會科學學院
41103A036,管理學院,人文社會科學學院
41110A009,人文社會科學學院,人文社會科學學院
41117B026,洄瀾學院,人文社會科學學院
41110A019,人文社會科學學院,人文社會科學學院
41103A011,管理學院,人文社會科學學院
41103A050,管理學院,人文社會科學學院
411196005,原住民民族學院,人文社會科學學院
41100A011,人文社會科學學院,人文社會科學學院
41114C001,人文社會科學學院,人文社會科學學院
411085045,花師教育學院,人文社會科學學院
41117B003,洄瀾學院,人文社會科學學院
41107A001,理工學院,人文社會科學學院
410813011,理工學院,人文社會科學學院
41117B021,洄瀾學院,人文社會科學學院
411192001,原住民民族學院,人文社會科學學院
411102018,人文社會科學學院,人文社會科學學院
41110A010,人文社會科學學院,人文社會科學學院
411003038,人文社會科學學院,人文社會科學學院
411012015,理工學院,人文社會科學學院
411111201,理工學院,人文社會科學學院
41117B001,洄瀾學院,人文社會科學學院
41100A071,人文社會科學學院,人文社會科學學院
41110A018,人文社會科學學院,人文社會科學學院
41110A022,人文社會科學學院,人文社會科學學院
411092001,原住民民族學院,人文社會科學學院
410914239,理工學院,人文社會科學學院
410999073,原住民民族學院,花師教育學院
411188028,花師教育學院,花師教育學院
411136020,管理學院,花師教育學院
41117B028,人文社會科學學院,花師教育學院
411121316,理工學院,洄瀾學院
411135034,管理學院,洄瀾學院
41119A015,原住民民族學院,原住民民族學院
411073004,藝術學院,原住民民族學院
410792002,人文社會科學學院,原住民民族學院
41110A015,人文社會科學學院,原住民民族學院
411022016,理工學院,理工學院
411111231,理工學院,理工學院
41117B036,洄瀾學院,理工學院
411025040,理工學院,理工學院
411154023,環境暨海洋學院,理工學院
41117B005,洄瀾學院,理工學院
411014234,理工學院,理工學院
411022052,理工學院,理工學院
410821380,理工學院,理工學院
410921366,理工學院,理工學院
410921367,理工學院,理工學院
410921380,理工學院,理工學院
411012003,理工學院,理工學院
411025020,理工學院,理工學院
411088005,花師教育學院,理工學院
411111203,理工學院,理工學院
411111307,理工學院,理工學院
411121315,理工學院,理工學院
411133060,管理學院,理工學院
411135037,管理學院,理工學院
411135055,管理學院,理工學院
4111213A0,理工學院,理工學院
4111213A3,理工學院,理工學院
411021307,理工學院,理工學院
411121303,理工學院,理工學院
41117B020,洄瀾學院,理工學院
410911224,理工學院,理工學院
410911229,理工學院,理工學院
410911272,理工學院,理工學院
411033037,管理學院,管理學院
411034042,管理學院,管理學院
411035043,管理學院,管理學院
411186002,花師教育學院,管理學院
41110A003,人文社會科學學院,管理學院
41113A001,管理學院,管理學院
411033035,管理學院,管理學院
411033041,管理學院,管理學院
411133043,管理學院,管理學院
41110A024,人文社會科學學院,管理學院
41094F026,人文社會科學學院,管理學院
411083009,人文社會科學學院,管理學院
411133008,管理學院,管理學院
411142012,人文社會科學學院,管理學院
411142033,人文社會科學學院,管理學院
411154005,環境暨海洋學院,管理學院
41100A022,人文社會科學學院,管理學院
41113A013,管理學院,管理學院
41097A013,理工學院,管理學院
411132014,管理學院,管理學院
411132063,管理學院,管理學院
41113A031,管理學院,管理學院
41110A033,人文社會科學學院,管理學院
410986075,花師教育學院,環境暨海洋學院
411113005,理工學院,環境暨海洋學院
41117B017,洄瀾學院,環境暨海洋學院
41117B038,洄瀾學院,環境暨海洋學院
411196002,原住民民族學院,藝術學院
410933052,管理學院,藝術學院
411075023,藝術學院,藝術學院
411085018,花師教育學院,藝術學院
41117B023,洄瀾學院,藝術學院
411074002,藝術學院,人文社會科學學院
411202006,人文社會科學學院,人文社會科學學院
411203007,人文社會科學學院,人文社會科學學院
411298001,原住民民族學院,人文社會科學學院
41103A033,管理學院,人文社會科學學院
41123A026,管理學院,人文社會科學學院
411201009,人文社會科學學院,人文社會科學學院
41124B009,人文社會科學學院,人文社會科學學院
411142031,人文社會科學學院,人文社會科學學院
411296004,原住民民族學院,人文社會科學學院
41113A029,管理學院,人文社會科學學院
411001014,人文社會科學學院,人文社會科學學院
411201001,人文社會科學學院,人文社會科學學院
411201019,人文社會科學學院,人文社會科學學院
41127B020,洄瀾學院,人文社會科學學院
41127B021,洄瀾學院,人文社會科學學院
410933021,管理學院,人文社會科學學院
411021244,理工學院,人文社會科學學院
411173013,藝術學院,人文社會科學學院
411188005,花師教育學院,人文社會科學學院
411296027,原住民民族學院,人文社會科學學院
41120A045,人文社會科學學院,人文社會科學學院
411101032,人文社會科學學院,人文社會科學學院
411202028,人文社會科學學院,人文社會科學學院
41120A042,人文社會科學學院,人文社會科學學院
411021241,理工學院,人文社會科學學院
411033039,管理學院,人文社會科學學院
411113020,理工學院,人文社會科學學院
410914271,理工學院,花師教育學院
411189076,花師教育學院,花師教育學院
411235045,管理學院,花師教育學院
41120A039,人文社會科學學院,洄瀾學院
411096076,原住民民族學院,原住民民族學院
411298011,原住民民族學院,原住民民族學院
41114B006,人文社會科學學院,原住民民族學院
411111328,理工學院,理工學院
411122036,理工學院,理工學院
41127B012,洄瀾學院,理工學院
411012038,理工學院,理工學院
411214205,理工學院,理工學院
411114229,理工學院,理工學院
411223048,理工學院,理工學院
411223051,理工學院,理工學院
411223052,理工學院,理工學院
411223053,理工學院,理工學院
411223054,理工學院,理工學院
410921301,理工學院,理工學院
410921379,理工學院,理工學院
411212041,理工學院,理工學院
411214203,理工學院,理工學院
411221302,理工學院,理工學院
411221303,理工學院,理工學院
411221309,理工學院,理工學院
411221310,理工學院,理工學院
411221313,理工學院,理工學院
411221314,理工學院,理工學院
411221315,理工學院,理工學院
411221320,理工學院,理工學院
411223078,理工學院,理工學院
411225029,理工學院,理工學院
411254044,環境暨海洋學院,理工學院
411274054,藝術學院,理工學院
411283051,人文社會科學學院,理工學院
411214223,理工學院,理工學院
411222061,理工學院,理工學院
411225039,理工學院,理工學院
411254016,環境暨海洋學院,理工學院
410913073,理工學院,管理學院
411014230,理工學院,管理學院
411134034,管理學院,管理學院
411236047,管理學院,管理學院
41107A021,人文社會科學學院,管理學院
41110A035,人文社會科學學院,管理學院
411123041,理工學院,管理學院
411142071,人文社會科學學院,管理學院
411188015,花師教育學院,管理學院
411202035,人文社會科學學院,管理學院
411233006,管理學院,管理學院
41114C036,人文社會科學學院,管理學院
41110A012,人文社會科學學院,管理學院
41113A016,管理學院,管理學院
41113A017,管理學院,管理學院
411142017,人文社會科學學院,管理學院
411188041,花師教育學院,管理學院
411212002,理工學院,管理學院
41083A020,管理學院,管理學院
41110A074,人文社會科學學院,管理學院
41114C075,人文社會科學學院,管理學院
41117B034,藝術學院,管理學院
41120A018,人文社會科學學院,管理學院
41123B023,管理學院,管理學院
411133034,管理學院,環境暨海洋學院
411136031,管理學院,環境暨海洋學院
411174047,藝術學院,環境暨海洋學院
411292009,原住民民族學院,環境暨海洋學院
411299023,原住民民族學院,環境暨海洋學院
41127B017,洄瀾學院,環境暨海洋學院
41120A004,人文社會科學學院,藝術學院
411075009,藝術學院,藝術學院
411075027,藝術學院,藝術學院
411111205,理工學院,藝術學院
411202008,人文社會科學學院,藝術學院
411285040,花師教育學院,藝術學院
411286004,花師教育學院,人文社會科學學院
41113A009,管理學院,人文社會科學學院
411234049,管理學院,人文社會科學學院
41124C026,人文社會科學學院,人文社會科學學院
41124C033,人文社會科學學院,人文社會科學學院
41127B010,洄瀾學院,人文社會科學學院
411285034,花師教育學院,人文社會科學學院
41120A009,人文社會科學學院,人文社會科學學院
411011332,理工學院,人文社會科學學院
411035042,管理學院,人文社會科學學院
41113A028,管理學院,人文社會科學學院
411175029,藝術學院,人文社會科學學院
411135017,管理學院,人文社會科學學院
411233016,管理學院,人文社會科學學院
411285001,花師教育學院,人文社會科學學院
411111319,理工學院,人文社會科學學院
411296031,原住民民族學院,人文社會科學學院
411054038,環境暨海洋學院,人文社會科學學院
41124F017,人文社會科學學院,人文社會科學學院
41127B002,洄瀾學院,人文社會科學學院
411098017,原住民民族學院,人文社會科學學院
411202027,人文社會科學學院,人文社會科學學院
411203001,人文社會科學學院,人文社會科學學院
411111327,理工學院,花師教育學院
411292011,原住民民族學院,花師教育學院
41119A012,原住民民族學院,花師教育學院
411199072,原住民民族學院,原住民民族學院
411012052,理工學院,理工學院
411212044,理工學院,理工學院
411254050,環境暨海洋學院,理工學院
411114309,理工學院,理工學院
411214329,理工學院,理工學院
411211227,理工學院,理工學院
411235059,管理學院,理工學院
4111213A4,理工學院,理工學院
4111213A5,理工學院,理工學院
411136058,管理學院,理工學院
411211330,理工學院,理工學院
411214232,理工學院,理工學院
411221305,理工學院,理工學院
411221308,理工學院,理工學院
411225032,理工學院,理工學院
411235032,管理學院,理工學院
